Timestamp,FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE
10/19/2015,5,0,10,10,10,10,10,5,10,10,10,10,10,10,0,0,9,10,10,10,36 to 50,Male,159
3/22/2016,5,0,10,10,10,10,10,5,8,10,10,10,10,9,0,0,9,10,10,10,Less than 20,Male,156
5/1/2020 6:30,5,0,10,10,10,10,10,5,9,10,10,10,10,7,0,0,10,10,10,10,36 to 50,Male,156
3/22/2016,5,0,10,10,10,10,10,5,9,10,10,10,10,8,0,0,5,10,10,10,Less than 20,Male,152
11/15/2020 4:48,5,0,10,10,10,10,10,5,6,10,10,10,10,7,0,0,9,10,10,10,51 or more,Male,152
8/20/2015,5,1,10,10,10,10,10,5,10,10,8,10,10,6,0,0,10,10,6,10,51 or more,Female,149
4/12/2016,5,0,10,10,10,10,10,5,6,10,10,10,10,7,0,0,6,10,10,10,36 to 50,Male,149
8/26/2016,5,2,10,10,10,10,10,5,10,10,8,10,10,8,0,0,10,10,8,7,51 or more,Female,149
10/31/2019 20:46,5,0,10,10,10,10,10,5,5,10,10,10,10,8,0,0,5,10,10,10,51 or more,Female,148
10/1/2020 14:34,5,0,9,10,10,10,10,4,6,10,10,10,10,7,0,0,10,6,10,10,51 or more,Female,147
6/22/2017,5,0,10,9,10,10,10,5,5,10,5,10,10,7,0,0,10,10,10,10,21 to 35,Male,146
11/14/2020 18:18,5,1,10,10,10,10,10,5,7,9,7,10,10,7,0,0,6,10,10,10,51 or more,Male,145
11/6/2015,4,1,9,10,10,10,10,5,9,8,8,7,10,8,0,0,7,10,10,10,51 or more,Female,144
5/29/2018,5,4,10,10,10,10,10,5,10,9,10,8,8,9,0,5,9,10,10,10,36 to 50,Female,144
8/28/2015,5,0,8,10,10,10,10,5,8,10,10,6,10,8,4,0,9,10,8,10,36 to 50,Male,143
12/6/2015,4,0,10,10,10,10,10,5,8,8,5,10,10,7,0,0,6,10,10,10,36 to 50,Male,143
6/20/2016,5,0,10,10,10,10,10,5,7,10,10,10,10,10,10,0,9,10,10,7,51 or more,Female,143
10/9/2016,5,2,10,10,10,10,10,0,7,10,10,10,10,8,0,5,10,10,10,10,21 to 35,Female,143
12/24/2019 14:33,5,0,10,3,10,10,10,5,9,10,10,10,10,10,0,0,10,1,10,10,21 to 35,Male,143
3/13/2021 0:57,5,2,10,8,10,10,10,5,10,9,10,8,10,8,0,2,8,10,8,8,36 to 50,Male,143
9/11/2015,5,0,6,10,2,10,10,5,7,8,10,10,10,10,0,0,9,10,10,10,36 to 50,Female,142
